transaction_id,customer_id,timestamp,merchant_category,device_type,is_card_present,location_country,distance_from_home_km,failed_attempts_last_24h,ip_risk_score,customer_avg_amount_30d,amount,amount_to_avg_ratio,hour_of_day,is_night_transaction,velocity_1h,velocity_24h,is_fraud
TXN_119081,CUST_0001,2026-07-21 03:49:46,Gas Station,Mobile App,0,Foreign High Risk,1334.39,0,0.269,60.221443415613166,105.87,1.76,3,1,1,2,1
TXN_108103,CUST_0001,2026-07-22 13:13:09,Gas Station,Mobile App,0,Domestic,10.25,0,0.032,60.221443415613166,35.82,0.59,13,0,1,1,0
TXN_120107,CUST_0001,2026-07-25 12:15:26,Electronics,Mobile App,0,Domestic,31.57,0,0.044,60.221443415613166,137.98,2.29,12,0,1,1,0
TXN_140494,CUST_0001,2026-07-26 18:53:30,Restaurants,Mobile App,0,Foreign Standard,343.98,1,0.083,60.221443415613166,54.52,0.91,18,0,1,1,0
TXN_127591,CUST_0001,2026-07-29 14:47:19,Online Retail,Mobile App,0,Domestic,19.14,0,0.24,60.221443415613166,74.28,1.23,14,0,1,1,0
TXN_145436,CUST_0001,2026-07-30 14:17:38,Online Retail,Web Browser,0,Domestic,0.44,1,0.084,60.221443415613166,43.29,0.72,14,0,1,2,0
TXN_117238,CUST_0002,2026-07-03 01:48:39,Grocery,Web Browser,0,Domestic,1.24,0,0.027,41.14249048826192,21.3,0.52,1,1,1,1,0
TXN_122489,CUST_0002,2026-07-03 09:54:00,Electronics,Mobile App,0,Domestic,10.97,0,0.031,41.14249048826192,51.21,1.24,9,0,1,2,0
TXN_128704,CUST_0002,2026-07-11 06:29:26,Restaurants,POS Terminal,1,Domestic,5.49,0,0.034,41.14249048826192,30.0,0.73,6,0,1,1,0
TXN_121985,CUST_0002,2026-07-12 07:25:40,Gas Station,Web Browser,0,Domestic,14.59,0,0.075,41.14249048826192,18.04,0.44,7,0,1,1,0
TXN_131451,CUST_0002,2026-07-12 20:52:28,Restaurants,Mobile App,0,Domestic,5.19,0,0.402,41.14249048826192,53.91,1.31,20,0,1,2,0
TXN_132915,CUST_0002,2026-07-14 08:32:37,Grocery,Mobile App,0,Domestic,17.5,0,0.092,41.14249048826192,66.88,1.63,8,0,1,1,0
TXN_130452,CUST_0002,2026-07-14 18:01:35,Online Retail,Web Browser,0,Domestic,12.9,0,0.009,41.14249048826192,35.89,0.87,18,0,1,2,0
TXN_102014,CUST_0002,2026-07-16 08:15:11,Travel & Flights,Web Browser,0,Domestic,9.51,0,0.192,41.14249048826192,37.24,0.91,8,0,1,1,0
TXN_113836,CUST_0002,2026-07-18 21:26:53,Gambling,Mobile App,0,Domestic,2.54,0,0.128,41.14249048826192,69.23,1.68,21,0,1,1,0
TXN_144485,CUST_0002,2026-07-20 17:43:47,Gas Station,Mobile App,0,Domestic,5.0,2,0.271,41.14249048826192,22.26,0.54,17,0,1,1,0
TXN_117847,CUST_0002,2026-07-24 18:45:04,Gambling,Mobile App,0,Domestic,0.95,0,0.001,41.14249048826192,41.11,1.0,18,0,1,1,0
TXN_148786,CUST_0002,2026-07-27 07:37:08,Grocery,Web Browser,0,Domestic,23.03,0,0.048,41.14249048826192,82.75,2.01,7,0,1,1,0
TXN_131679,CUST_0003,2026-07-03 17:30:28,Grocery,Mobile App,0,Domestic,3.1,0,0.068,65.93128892664124,37.7,0.57,17,0,1,1,0
TXN_146142,CUST_0003,2026-07-03 22:34:27,Grocery,POS Terminal,1,Domestic,7.03,3,0.231,65.93128892664124,115.55,1.75,22,0,1,2,0
TXN_121957,CUST_0003,2026-07-06 05:06:55,Grocery,Mobile App,0,Domestic,1.17,2,0.382,65.93128892664124,109.5,1.66,5,1,1,1,0
TXN_133556,CUST_0003,2026-07-06 07:01:32,Grocery,POS Terminal,1,Domestic,2.18,0,0.04,65.93128892664124,63.64,0.97,7,0,1,2,0
TXN_135102,CUST_0003,2026-07-06 12:16:05,Crypto Exchange,Mobile App,0,Domestic,26.6,0,0.436,65.93128892664124,74.54,1.13,12,0,1,3,0
TXN_107974,CUST_0003,2026-07-06 14:01:37,Restaurants,ATM,1,Domestic,25.4,0,0.185,65.93128892664124,33.8,0.51,14,0,1,4,0
TXN_145669,CUST_0003,2026-07-09 05:13:35,Gambling,Web Browser,0,Domestic,33.48,1,0.001,65.93128892664124,24.76,0.38,5,1,1,1,0
TXN_106943,CUST_0003,2026-07-17 19:48:33,Gas Station,POS Terminal,1,Domestic,22.62,1,0.001,65.93128892664124,51.17,0.78,19,0,1,1,0
TXN_100152,CUST_0003,2026-07-18 19:42:17,Electronics,Mobile App,0,Domestic,1.52,0,0.188,65.93128892664124,148.9,2.26,19,0,1,2,0
TXN_126006,CUST_0003,2026-07-19 01:51:12,Grocery,POS Terminal,1,Domestic,4.82,0,0.014,65.93128892664124,64.21,0.97,1,1,1,2,0
TXN_143189,CUST_0003,2026-07-19 16:36:17,Restaurants,Mobile App,0,Domestic,26.62,0,0.105,65.93128892664124,55.68,0.84,16,0,1,3,0
TXN_104530,CUST_0003,2026-07-21 19:21:10,Electronics,Mobile App,0,Domestic,31.69,0,0.177,65.93128892664124,97.64,1.48,19,0,1,1,0
TXN_107327,CUST_0003,2026-07-23 01:08:22,Grocery,Mobile App,0,Domestic,18.09,0,0.15,65.93128892664124,40.04,0.61,1,1,1,1,0
TXN_112977,CUST_0004,2026-07-02 10:00:59,Grocery,POS Terminal,1,Domestic,2.9,0,0.161,111.47695788954728,108.84,0.98,10,0,1,1,0
TXN_132901,CUST_0004,2026-07-02 15:22:11,Gambling,Web Browser,0,Domestic,27.02,0,0.033,111.47695788954728,121.15,1.09,15,0,1,2,0
TXN_121197,CUST_0004,2026-07-03 07:13:32,Online Retail,Mobile App,0,Domestic,2.96,0,0.121,111.47695788954728,88.49,0.79,7,0,1,3,0
TXN_141270,CUST_0004,2026-07-04 00:28:56,Electronics,Mobile App,0,Domestic,19.73,0,0.002,111.47695788954728,41.48,0.37,0,0,1,2,0
TXN_122234,CUST_0004,2026-07-04 00:38:45,Restaurants,Mobile App,0,Domestic,25.74,0,0.019,111.47695788954728,96.68,0.87,0,0,2,3,0
TXN_145589,CUST_0004,2026-07-11 02:28:32,Grocery,POS Terminal,1,Domestic,7.66,0,0.087,111.47695788954728,66.39,0.6,2,1,1,1,0
TXN_125768,CUST_0004,2026-07-13 02:53:26,Grocery,Mobile App,0,Domestic,1.69,0,0.411,111.47695788954728,42.63,0.38,2,1,1,1,0
TXN_116485,CUST_0004,2026-07-14 17:47:56,Gas Station,Web Browser,0,Domestic,3.65,0,0.058,111.47695788954728,66.14,0.59,17,0,1,1,0
TXN_105337,CUST_0004,2026-07-14 22:04:31,Electronics,Web Browser,0,Domestic,0.43,0,0.0,111.47695788954728,112.09,1.01,22,0,1,2,0
TXN_121294,CUST_0004,2026-07-15 16:59:52,Gas Station,Web Browser,0,Domestic,14.82,0,0.038,111.47695788954728,143.31,1.29,16,0,1,3,0
TXN_115583,CUST_0004,2026-07-17 02:17:34,Online Retail,Web Browser,0,Domestic,40.48,0,0.288,111.47695788954728,71.91,0.65,2,1,1,1,0
TXN_134314,CUST_0004,2026-07-17 06:22:54,Gas Station,POS Terminal,1,Domestic,3.68,0,0.397,111.47695788954728,106.03,0.95,6,0,1,2,0
TXN_139660,CUST_0004,2026-07-17 11:11:11,Travel & Flights,Mobile App,0,Domestic,21.11,0,0.125,111.47695788954728,115.91,1.04,11,0,1,3,0
TXN_139051,CUST_0004,2026-07-18 13:10:37,Grocery,Web Browser,0,Domestic,6.76,1,0.078,111.47695788954728,300.76,2.7,13,0,1,1,0
TXN_134640,CUST_0004,2026-07-19 20:57:03,Restaurants,POS Terminal,1,Domestic,56.38,0,0.13,111.47695788954728,114.39,1.03,20,0,1,1,0
TXN_146711,CUST_0004,2026-07-23 10:15:12,Restaurants,Web Browser,0,Domestic,2.17,1,0.066,111.47695788954728,49.97,0.45,10,0,1,1,0
TXN_132610,CUST_0004,2026-07-23 10:55:31,Grocery,Mobile App,0,Domestic,1.32,2,0.137,111.47695788954728,176.2,1.58,10,0,2,2,0
TXN_124837,CUST_0004,2026-07-28 04:36:46,Electronics,Mobile App,0,Domestic,8.44,0,0.025,111.47695788954728,62.41,0.56,4,1,1,1,0
TXN_147039,CUST_0004,2026-07-29 09:13:49,Restaurants,POS Terminal,1,Domestic,16.79,0,0.093,111.47695788954728,50.94,0.46,9,0,1,1,0
TXN_115887,CUST_0004,2026-07-30 17:52:59,Grocery,Mobile App,0,Foreign High Risk,687.41,0,0.266,111.47695788954728,110.9,0.99,17,0,1,1,0
TXN_140617,CUST_0005,2026-07-01 17:50:52,Restaurants,Web Browser,0,Domestic,2.5,0,0.025,38.8422268287266,33.27,0.86,17,0,1,1,0
TXN_108825,CUST_0005,2026-07-02 14:41:03,Money Transfer,Web Browser,0,Domestic,2.8,0,0.195,38.8422268287266,49.19,1.27,14,0,1,2,0
TXN_142158,CUST_0005,2026-07-04 07:55:08,Electronics,Mobile App,0,Foreign Standard,678.13,1,0.026,38.8422268287266,42.75,1.1,7,0,1,1,0
TXN_123218,CUST_0005,2026-07-04 17:53:59,Grocery,POS Terminal,1,Domestic,8.69,0,0.11,38.8422268287266,65.22,1.68,17,0,1,2,0
TXN_132779,CUST_0005,2026-07-05 22:48:49,Grocery,ATM,1,Domestic,7.88,0,0.008,38.8422268287266,37.03,0.95,22,0,1,1,0
TXN_144814,CUST_0005,2026-07-07 00:19:04,Grocery,Mobile App,0,Domestic,21.99,0,0.002,38.8422268287266,16.48,0.42,0,0,1,1,0
TXN_117926,CUST_0005,2026-07-10 03:15:49,Electronics,Mobile App,0,Domestic,4.39,0,0.005,38.8422268287266,18.06,0.46,3,1,1,1,0
TXN_142779,CUST_0005,2026-07-10 16:17:31,Gas Station,ATM,1,Domestic,5.37,0,0.003,38.8422268287266,38.17,0.98,16,0,1,2,0
TXN_115996,CUST_0005,2026-07-12 06:12:23,Gas Station,Web Browser,0,Domestic,7.4,0,0.102,38.8422268287266,56.87,1.46,6,0,1,1,0
TXN_116583,CUST_0005,2026-07-13 17:24:40,Online Retail,POS Terminal,1,Domestic,0.12,1,0.153,38.8422268287266,15.21,0.39,17,0,1,1,0
TXN_109636,CUST_0005,2026-07-15 06:11:57,Online Retail,POS Terminal,1,Domestic,0.04,0,0.065,38.8422268287266,42.72,1.1,6,0,1,1,0
TXN_143884,CUST_0005,2026-07-20 08:02:26,Electronics,Mobile App,0,Domestic,11.99,0,0.0,38.8422268287266,70.13,1.81,8,0,1,1,0
TXN_102372,CUST_0005,2026-07-23 16:46:12,Electronics,Web Browser,0,Domestic,8.56,0,0.012,38.8422268287266,61.81,1.59,16,0,1,1,0
TXN_129504,CUST_0005,2026-07-28 09:52:30,Restaurants,Web Browser,0,Domestic,3.75,0,0.007,38.8422268287266,49.78,1.28,9,0,1,1,0
TXN_149644,CUST_0005,2026-07-29 10:10:31,Gas Station,ATM,1,Domestic,1.58,0,0.0,38.8422268287266,55.63,1.43,10,0,1,1,0
TXN_109728,CUST_0006,2026-07-01 10:23:14,Gambling,Web Browser,0,Domestic,39.09,2,0.0,38.842609452355816,20.44,0.53,10,0,1,1,0
TXN_100784,CUST_0006,2026-07-02 06:36:46,Restaurants,Web Browser,0,Domestic,1.44,0,0.051,38.842609452355816,26.18,0.67,6,0,1,2,0
TXN_132629,CUST_0006,2026-07-05 05:37:16,Gas Station,Mobile App,0,Domestic,12.87,2,0.274,38.842609452355816,24.86,0.64,5,1,1,1,0
TXN_120323,CUST_0006,2026-07-05 08:52:26,Online Retail,Mobile App,0,Domestic,37.79,0,0.048,38.842609452355816,27.97,0.72,8,0,1,2,0
TXN_132603,CUST_0006,2026-07-05 18:21:59,Electronics,POS Terminal,1,Domestic,64.28,0,0.097,38.842609452355816,17.21,0.44,18,0,1,3,0
TXN_145883,CUST_0006,2026-07-05 23:29:55,Online Retail,Mobile App,0,Foreign Standard,281.03,0,0.109,38.842609452355816,50.68,1.3,23,0,1,4,0
TXN_144635,CUST_0006,2026-07-06 01:57:38,Restaurants,Web Browser,0,Domestic,12.19,0,0.08,38.842609452355816,30.23,0.78,1,1,1,5,0
TXN_133409,CUST_0006,2026-07-08 04:52:16,Gas Station,Mobile App,0,Foreign High Risk,3014.27,0,0.289,38.842609452355816,19.36,0.5,4,1,1,1,0
TXN_108806,CUST_0006,2026-07-16 01:34:59,Gas Station,POS Terminal,1,Domestic,20.76,0,0.116,38.842609452355816,21.37,0.55,1,1,1,1,0
TXN_138548,CUST_0006,2026-07-18 22:24:14,Travel & Flights,Mobile App,0,Domestic,12.92,0,0.071,38.842609452355816,63.72,1.64,22,0,1,1,0
TXN_117098,CUST_0006,2026-07-19 13:37:25,Restaurants,Web Browser,0,Domestic,19.3,0,0.033,38.842609452355816,29.7,0.76,13,0,1,2,0
TXN_129108,CUST_0006,2026-07-20 11:09:28,Electronics,Mobile App,0,Domestic,0.11,0,0.037,38.842609452355816,39.61,1.02,11,0,1,2,0
TXN_147903,CUST_0006,2026-07-23 08:49:13,Gas Station,Web Browser,0,Domestic,17.52,0,0.529,38.842609452355816,19.67,0.51,8,0,1,1,0
TXN_118492,CUST_0006,2026-07-23 22:25:04,Online Retail,Mobile App,0,Domestic,17.48,0,0.02,38.842609452355816,30.6,0.79,22,0,1,2,0
TXN_121602,CUST_0006,2026-07-24 12:24:31,Restaurants,Web Browser,0,Domestic,6.41,0,0.286,38.842609452355816,72.44,1.86,12,0,1,2,0
TXN_141627,CUST_0006,2026-07-25 22:44:17,Crypto Exchange,Mobile App,0,Domestic,16.78,0,0.0,38.842609452355816,26.87,0.69,22,0,1,1,0
TXN_146311,CUST_0006,2026-07-28 16:04:44,Grocery,POS Terminal,1,Foreign High Risk,1796.34,0,0.267,38.842609452355816,23.47,0.6,16,0,1,1,0
TXN_135425,CUST_0006,2026-07-30 09:48:11,Crypto Exchange,Web Browser,0,Domestic,1.18,0,0.069,38.842609452355816,14.7,0.38,9,0,1,1,0
TXN_130357,CUST_0007,2026-07-01 08:14:58,Online Retail,Mobile App,0,Domestic,2.27,1,0.01,115.29887721745911,122.73,1.06,8,0,1,1,0
TXN_105117,CUST_0007,2026-07-05 22:30:58,Grocery,Mobile App,0,Domestic,37.43,0,0.101,115.29887721745911,170.13,1.48,22,0,1,1,0
TXN_124212,CUST_0007,2026-07-07 13:33:36,Online Retail,POS Terminal,1,Domestic,16.64,0,0.252,115.29887721745911,94.56,0.82,13,0,1,1,0
TXN_149802,CUST_0007,2026-07-08 05:28:59,Gas Station,ATM,1,Domestic,10.6,0,0.149,115.29887721745911,99.78,0.87,5,1,1,2,0
TXN_125874,CUST_0007,2026-07-08 23:47:20,Grocery,POS Terminal,1,Domestic,1.17,0,0.01,115.29887721745911,196.54,1.7,23,0,1,2,0
TXN_105446,CUST_0007,2026-07-13 10:55:39,Travel & Flights,Web Browser,0,Domestic,8.05,0,0.449,115.29887721745911,123.01,1.07,10,0,1,1,0
TXN_121139,CUST_0007,2026-07-13 17:12:18,Online Retail,Mobile App,0,Domestic,11.34,0,0.094,115.29887721745911,83.88,0.73,17,0,1,2,0
TXN_138967,CUST_0007,2026-07-15 16:05:44,Grocery,POS Terminal,1,Domestic,0.03,0,0.049,115.29887721745911,186.88,1.62,16,0,1,1,0
TXN_125648,CUST_0007,2026-07-17 04:35:29,Grocery,POS Terminal,1,Foreign Standard,999.96,0,0.022,115.29887721745911,105.82,0.92,4,1,1,1,0
TXN_143778,CUST_0007,2026-07-20 23:03:53,Gas Station,Mobile App,0,Domestic,17.64,0,0.082,115.29887721745911,107.56,0.93,23,0,1,1,0
TXN_114045,CUST_0007,2026-07-21 16:47:55,Grocery,Mobile App,0,Domestic,0.37,0,0.056,115.29887721745911,223.92,1.94,16,0,1,2,0
TXN_112215,CUST_0007,2026-07-22 02:27:59,Luxury Goods,POS Terminal,1,Domestic,77.88,1,0.003,115.29887721745911,204.37,1.77,2,1,1,2,0
TXN_141098,CUST_0007,2026-07-22 09:53:51,Grocery,Web Browser,0,Domestic,1.01,0,0.1,115.29887721745911,211.04,1.83,9,0,1,3,0
TXN_113578,CUST_0007,2026-07-22 21:02:33,Online Retail,POS Terminal,1,Domestic,29.39,0,0.18,115.29887721745911,207.79,1.8,21,0,1,3,0
TXN_131049,CUST_0007,2026-07-23 17:57:00,Gas Station,POS Terminal,1,Domestic,16.47,0,0.013,115.29887721745911,113.28,0.98,17,0,1,2,0
TXN_140703,CUST_0007,2026-07-26 22:04:06,Grocery,Mobile App,0,Foreign Standard,387.86,0,0.055,115.29887721745911,53.15,0.46,22,0,1,1,0
TXN_148935,CUST_0007,2026-07-27 01:04:55,Electronics,Mobile App,0,Domestic,9.93,0,0.064,115.29887721745911,32.27,0.28,1,1,1,2,0
TXN_106879,CUST_0007,2026-07-27 09:50:25,Gas Station,ATM,1,Domestic,16.65,0,0.005,115.29887721745911,155.42,1.35,9,0,1,3,0
TXN_124878,CUST_0007,2026-07-28 05:07:02,Luxury Goods,Web Browser,0,Domestic,7.04,0,0.234,115.29887721745911,123.19,1.07,5,1,1,2,0
TXN_143849,CUST_0007,2026-07-29 03:33:22,Grocery,POS Terminal,1,Domestic,12.27,0,0.009,115.29887721745911,133.48,1.16,3,1,1,2,0
TXN_134941,CUST_0007,2026-07-29 08:10:00,Grocery,Web Browser,0,Domestic,26.32,1,0.046,115.29887721745911,214.56,1.86,8,0,1,2,0
TXN_139538,CUST_0007,2026-07-30 11:02:45,Online Retail,Mobile App,0,Domestic,15.34,1,0.033,115.29887721745911,82.13,0.71,11,0,1,1,0
TXN_113868,CUST_0008,2026-07-02 12:15:09,Gambling,Web Browser,0,Domestic,75.9,0,0.001,70.84262286959768,81.16,1.15,12,0,1,1,0
TXN_140571,CUST_0008,2026-07-04 09:33:30,Online Retail,Mobile App,0,Domestic,49.55,0,0.004,70.84262286959768,75.43,1.06,9,0,1,1,0
TXN_133776,CUST_0008,2026-07-04 09:58:43,Electronics,Mobile App,0,Domestic,65.97,0,0.074,70.84262286959768,41.43,0.58,9,0,2,2,0
TXN_114767,CUST_0008,2026-07-05 02:52:12,Restaurants,Mobile App,0,Domestic,2.46,0,0.061,70.84262286959768,70.26,0.99,2,1,1,3,0
TXN_101222,CUST_0008,2026-07-05 11:19:22,Online Retail,POS Terminal,1,Domestic,1.87,0,0.01,70.84262286959768,66.65,0.94,11,0,1,2,0
TXN_140648,CUST_0008,2026-07-06 20:06:50,Online Retail,POS Terminal,1,Foreign Standard,389.11,0,0.001,70.84262286959768,23.62,0.33,20,0,1,1,0
TXN_122096,CUST_0008,2026-07-08 01:54:30,Electronics,Mobile App,0,Domestic,48.25,0,0.0,70.84262286959768,87.45,1.23,1,1,1,1,0
TXN_123053,CUST_0008,2026-07-08 12:32:19,Grocery,Web Browser,0,Domestic,64.99,0,0.178,70.84262286959768,21.82,0.31,12,0,1,2,0
TXN_128019,CUST_0008,2026-07-10 05:55:30,Online Retail,Web Browser,0,Domestic,4.52,0,0.045,70.84262286959768,30.97,0.44,5,1,1,1,0
TXN_109681,CUST_0008,2026-07-11 06:08:05,Online Retail,Mobile App,0,Foreign High Risk,1638.93,0,0.412,70.84262286959768,65.65,0.93,6,0,1,1,0
TXN_133912,CUST_0008,2026-07-11 08:53:21,Gas Station,Web Browser,0,Domestic,16.33,2,0.099,70.84262286959768,33.93,0.48,8,0,1,2,0
TXN_107864,CUST_0008,2026-07-14 10:30:55,Online Retail,Web Browser,0,Domestic,18.08,0,0.008,70.84262286959768,95.0,1.34,10,0,1,1,0
TXN_125418,CUST_0008,2026-07-16 06:06:16,Restaurants,Mobile App,0,Domestic,10.56,1,0.187,70.84262286959768,83.02,1.17,6,0,1,1,0
TXN_125035,CUST_0008,2026-07-19 10:18:02,Restaurants,Web Browser,0,Domestic,17.89,0,0.012,70.84262286959768,61.32,0.87,10,0,1,1,0
TXN_127328,CUST_0008,2026-07-20 08:21:56,Electronics,Mobile App,0,Domestic,22.4,0,0.175,70.84262286959768,103.21,1.46,8,0,1,2,0
TXN_119100,CUST_0008,2026-07-21 01:09:20,Restaurants,Mobile App,0,Domestic,7.86,0,0.002,70.84262286959768,43.81,0.62,1,1,1,2,0
TXN_105856,CUST_0008,2026-07-22 07:22:14,Gambling,Mobile App,0,Domestic,52.52,0,0.062,70.84262286959768,94.09,1.33,7,0,1,1,0
TXN_117280,CUST_0008,2026-07-24 12:20:48,Online Retail,Mobile App,0,Domestic,4.23,0,0.001,70.84262286959768,67.83,0.96,12,0,1,1,0
TXN_124391,CUST_0008,2026-07-24 17:28:08,Gas Station,Web Browser,0,Domestic,11.66,0,0.0,70.84262286959768,123.77,1.75,17,0,1,2,0
TXN_142351,CUST_0008,2026-07-25 03:41:36,Travel & Flights,POS Terminal,1,Domestic,15.69,0,0.033,70.84262286959768,97.2,1.37,3,1,1,3,0
TXN_139255,CUST_0008,2026-07-28 01:03:47,Travel & Flights,Mobile App,0,Domestic,10.35,0,0.214,70.84262286959768,68.66,0.97,1,1,1,1,0
TXN_140765,CUST_0009,2026-07-05 05:47:22,Grocery,Mobile App,0,Domestic,29.22,0,0.003,33.72756206230619,22.97,0.68,5,1,1,1,0
TXN_146470,CUST_0009,2026-07-09 18:55:36,Grocery,Mobile App,0,Foreign Standard,283.3,0,0.005,33.72756206230619,35.39,1.05,18,0,1,1,0
TXN_119192,CUST_0009,2026-07-10 12:07:02,Online Retail,Mobile App,0,Domestic,2.3,0,0.007,33.72756206230619,60.47,1.79,12,0,1,2,0
TXN_119772,CUST_0009,2026-07-12 22:37:49,Travel & Flights,Mobile App,0,Domestic,26.82,0,0.001,33.72756206230619,60.06,1.78,22,0,1,1,0
TXN_148011,CUST_0009,2026-07-14 10:45:36,Gas Station,Mobile App,0,Domestic,7.52,1,0.112,33.72756206230619,19.73,0.58,10,0,1,1,0
TXN_109171,CUST_0009,2026-07-15 04:24:16,Grocery,Web Browser,0,Domestic,1.92,0,0.006,33.72756206230619,15.37,0.46,4,1,1,2,0
TXN_147795,CUST_0009,2026-07-18 00:34:33,Gas Station,Web Browser,0,Domestic,13.95,0,0.09,33.72756206230619,33.42,0.99,0,0,1,1,0
TXN_133814,CUST_0009,2026-07-19 08:17:27,Grocery,ATM,1,Domestic,16.53,0,0.061,33.72756206230619,31.97,0.95,8,0,1,1,0
TXN_115306,CUST_0009,2026-07-19 22:50:25,Grocery,POS Terminal,1,Domestic,4.68,0,0.019,33.72756206230619,35.47,1.05,22,0,1,2,0
TXN_130323,CUST_0009,2026-07-21 01:37:58,Restaurants,Mobile App,0,Domestic,24.34,0,0.083,33.72756206230619,34.52,1.02,1,1,1,1,0
TXN_144041,CUST_0009,2026-07-21 02:58:23,Grocery,Web Browser,0,Domestic,14.86,0,0.122,33.72756206230619,25.84,0.77,2,1,1,2,0
TXN_134567,CUST_0009,2026-07-21 22:22:06,Grocery,Mobile App,0,Domestic,12.12,0,0.071,33.72756206230619,27.46,0.81,22,0,1,3,0
TXN_137475,CUST_0009,2026-07-25 06:01:01,Electronics,Web Browser,0,Domestic,32.3,0,0.186,33.72756206230619,41.86,1.24,6,0,1,1,0
TXN_137191,CUST_0009,2026-07-27 17:55:34,Restaurants,POS Terminal,1,Domestic,1.45,0,0.454,33.72756206230619,20.36,0.6,17,0,1,1,0
TXN_147041,CUST_0009,2026-07-27 23:11:29,Luxury Goods,Web Browser,0,Domestic,11.73,0,0.024,33.72756206230619,29.85,0.89,23,0,1,2,0
TXN_147594,CUST_0009,2026-07-29 10:08:53,Gas Station,Mobile App,0,Domestic,6.49,0,0.009,33.72756206230619,38.88,1.15,10,0,1,1,0
TXN_145363,CUST_0009,2026-07-29 20:48:09,Restaurants,Mobile App,0,Domestic,1.04,0,0.097,33.72756206230619,44.51,1.32,20,0,1,2,0
TXN_109735,CUST_0010,2026-07-02 11:24:59,Online Retail,Web Browser,0,Domestic,8.54,0,0.03,61.90098090370957,62.77,1.01,11,0,1,1,0
TXN_120572,CUST_0010,2026-07-02 14:50:09,Grocery,POS Terminal,1,Domestic,1.43,0,0.029,61.90098090370957,189.97,3.07,14,0,1,2,0
TXN_132142,CUST_0010,2026-07-03 19:45:40,Restaurants,Mobile App,0,Domestic,16.89,0,0.017,61.90098090370957,90.64,1.46,19,0,1,1,0
TXN_148441,CUST_0010,2026-07-06 19:24:34,Restaurants,Web Browser,0,Domestic,1.78,0,0.087,61.90098090370957,82.14,1.33,19,0,1,1,0
TXN_133795,CUST_0010,2026-07-10 17:02:23,Crypto Exchange,Web Browser,0,Domestic,1.4,0,0.459,61.90098090370957,56.8,0.92,17,0,1,1,0
TXN_147653,CUST_0010,2026-07-11 18:05:08,Electronics,POS Terminal,1,Domestic,12.17,0,0.12,61.90098090370957,21.68,0.35,18,0,1,1,0
